model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
EfficientNetV2B0,INDOOR,standard,standard,4,0.9988501341510158,0.998848699137958,0.998849734476388
EfficientNetV2B0,INDOOR,standard,standard,5,0.998594608406797,0.9985951667338647,0.9985946378126636
EfficientNetV2B0,NO_ALPHA,standard,standard,1,0.9974447425578127,0.9974453643882619,0.9974446473880276
EfficientNetV2B0,NO_ALPHA,standard,standard,2,0.9974447425578127,0.9974461220545621,0.9974449144911111
EfficientNetV2B0,NO_ALPHA,standard,standard,3,0.997189216813594,0.9971912878834908,0.9971896715398296
EfficientNetV2B0,NO_ALPHA,standard,standard,4,0.9230867509901622,0.9224651855895984,0.9224725257049572
EfficientNetV2B0,NO_ALPHA,standard,standard,5,0.9974447425578127,0.997446798795628,0.9974451722198935
EfficientNetV2B0,NO_SHIFT,standard,standard,1,0.9234700396064903,0.9234051586561278,0.9234006787989135
EfficientNetV2B0,NO_SHIFT,standard,standard,2,0.9978280311741408,0.997829377614501,0.9978282060331884
EfficientNetV2B0,NO_SHIFT,standard,standard,3,0.9239810910949278,0.9238357070123197,0.9238296331501592
EfficientNetV2B0,NO_SHIFT,standard,standard,4,0.9979557940462501,0.9979570730158316,0.9979559414202417
EfficientNetV2B0,NO_SHIFT,standard,standard,5,0.9168263702568034,0.916927753600786,0.9169190855473601
EfficientNetV2B0,NO_SYNTH,standard,standard,1,0.42775009582215406,0.40545653732633524,0.40535644269013826
EfficientNetV2B0,NO_SYNTH,standard,standard,2,0.41689025169285804,0.41089588500345214,0.41074073178478265
EfficientNetV2B0,NO_SYNTH,standard,standard,3,0.3754950811294238,0.33115797993351975,0.33095524118335684
EfficientNetV2B0,NO_SYNTH,standard,standard,4,0.3880158425961416,0.3467356948190593,0.34663784233202327
EfficientNetV2B0,NO_SYNTH,standard,standard,5,0.546697329755973,0.49855289842144557,0.4984844957334418
EfficientNetV2B0,RANDBG,standard,progressive,1,0.9296026574677398,0.9295417780884843,0.9295344582891305
EfficientNetV2B0,RANDBG,standard,progressive,2,0.9354797495847706,0.9354647267157727,0.9354578908461779
EfficientNetV2B0,RANDBG,standard,progressive,3,0.9349686980963332,0.9348225647795783,0.9348167686975386
EfficientNetV2B0,RANDBG,standard,progressive,4,0.9298581832119586,0.9296464999351971,0.9296477861246266
EfficientNetV2B0,RANDBG,standard,progressive,5,0.9260252970486776,0.9259678147698838,0.9259662826001265
EfficientNetV2B0,RANDBG,standard,standard,2,0.9989778970231251,0.9989762993506472,0.9989777960124385
EfficientNetV2B0,RANDBG,standard,standard,3,0.9982113197904688,0.998209783569607,0.998211020212997
EfficientNetV2B0,RANDBG,standard,standard,4,0.9988501341510158,0.9988493276137921,0.9988500316663432
EfficientNetV2B0,RANDBG,standard,standard,5,0.9987223712789064,0.9987216429948153,0.9987223024806932
EfficientNetV2B0,RATIO_1X,standard,standard,1,0.9235978024785997,0.9233476842081445,0.9233530840003398
EfficientNetV2B0,RATIO_1X,standard,standard,2,0.997189216813594,0.9971882682402973,0.9971886462984271
EfficientNetV2B0,RATIO_1X,standard,standard,3,0.9977002683020314,0.9977005055758982,0.9977003814887707
EfficientNetV2B0,RATIO_1X,standard,standard,4,0.9974447425578127,0.9974449469395653,0.9974447803745022
EfficientNetV2B0,RATIO_1X,standard,standard,5,0.9973169796857033,0.997317779544802,0.997317505307944
EfficientNetV2B0,REMBG_ONLY,standard,standard,1,0.9363740896895362,0.9360829244701292,0.9360877785445408
EfficientNetV2B0,REMBG_ONLY,standard,standard,2,0.9983390826625782,0.9983401799574517,0.9983389970513478
EfficientNetV2B0,REMBG_ONLY,standard,standard,3,0.9319023891657084,0.9316490639779358,0.9316506653098535
EfficientNetV2B0,REMBG_ONLY,standard,standard,4,0.9321579149099272,0.9318069629935289,0.9318175324568851
EfficientNetV2B0,REMBG_ONLY,standard,standard,5,0.9373961926664112,0.9371517656391943,0.9371676993005861
EfficientNetV2B0,STYLE_TRANSFER,standard,standard,1,0.9230867509901622,0.9227787580885262,0.9227924591378127
EfficientNetV2B0,STYLE_TRANSFER,standard,standard,2,0.9242366168391466,0.9240716577150057,0.9240755956295544
EfficientNetV2B0,STYLE_TRANSFER,standard,standard,3,0.9970614539414846,0.9970582282416115,0.9970597843972181
EfficientNetV2B0,STYLE_TRANSFER,standard,standard,4,0.997189216813594,0.9971882557122742,0.997188744127436
EfficientNetV2B0,STYLE_TRANSFER,standard,standard,5,0.9293471317235211,0.9289487406708611,0.9289575544125163
MobileNetV3Small,FULL,standard,progressive,1,0.8304586687108726,0.8284069457295369,0.8284249367364803
